LandProvince;SeaZone;x;y;
379;14771;5042;262;
384;14439;8794;4858;
389;14659;8652;4337;
392;14952;10755;3945;
393;15041;13736;3906;
396;14992;9292;4229;
403;14867;9434;4625;
406;14839;4560;2645;
414;14842;7906;4755;
427;14803;13325;3775;
432;14828;8486;2972;
435;14399;4664;3168;
439;14587;12601;3568;
446;14437;7823;2982;
451;14608;5753;1226;
452;15001;12845;2830;
454;14463;12884;3284;
456;14390;13793;3399;
458;14770;9251;4502;
461;14589;4129;3743;
474;14950;4603;4309;
475;14455;8734;5403;
480;14416;10614;4448;
503;14988;8892;1526;
504;14953;4939;1396;
512;14911;11379;3798;
513;14879;9079;4154;
515;14608;5539;1194;
523;14953;4932;1351;
532;14778;10077;3621;
537;14747;14829;2410;
538;14949;15989;850;
541;14375;3907;3512;
546;14697;3797;3487;
548;14774;10473;2117;
549;14399;4653;3179;
556;14854;8407;4749;
557;14991;4651;2891;
558;15061;9231;4499;
560;14974;11622;3313;
564;14730;8570;4618;
567;14664;11497;3770;
573;14610;13680;3791;
590;14552;5678;3041;
600;14756;8128;5086;
603;14685;13001;2691;
612;14619;12897;2926;
615;14673;9648;4438;
616;14868;9236;5769;
623;14782;13362;2948;
630;14326;12179;3760;
633;14421;8147;4850;
636;14421;8167;4824;
637;14887;4136;3385;
638;14415;13031;2642;
644;14911;11388;3805;
647;14721;4928;1263;
659;15032;4174;3619;
669;14557;8147;3012;
672;14440;9466;4681;
673;14701;7561;4075;
676;15038;2369;5071;
681;14995;8296;4439;
685;14798;13734;4108;
688;14829;8810;4470;
691;14546;7778;5167;
692;14405;7572;3220;
696;14542;15351;2399;
699;14318;4914;4655;
701;14982;4548;4691;
702;14991;4671;3003;
704;14498;8935;4517;
706;14806;8063;5240;
713;14827;5413;3404;
716;14396;10352;2086;
721;14636;9618;4200;
730;14886;9309;5509;
731;14911;11303;3857;
733;14507;14998;1759;
734;14380;4042;2742;
737;14794;5035;425;
740;14528;8632;4627;
744;14707;8162;4398;
747;14572;6112;5537;
749;14687;15180;1482;
750;14502;9996;2590;
752;14885;13282;2463;
754;14715;4650;2288;
757;14614;8021;4949;
761;14596;13479;2693;
765;14440;9529;4830;
781;14732;13390;3801;
786;14440;9491;4656;
791;15048;9223;5392;
796;14406;6488;2256;
802;14340;6174;2653;
806;14985;8726;4694;
807;14789;13476;2381;
811;14326;12217;3770;
812;14763;4876;3663;
813;14551;12492;3546;
814;14416;10620;4838;
820;14336;9746;4864;
823;14482;11909;3121;
828;14415;13190;2458;
829;14721;4873;1111;
847;14635;6127;1700;
852;14810;14315;4394;
853;14710;7952;5355;
854;15009;14199;4357;
855;15010;9823;4014;
856;14457;6420;2613;
858;14520;5658;5021;
871;14982;4415;4658;
879;14328;6007;1632;
882;14919;13184;3728;
885;14930;9823;4425;
899;14626;4066;4137;
900;14830;1115;3646;
909;14492;4600;3181;
911;15074;15066;2646;
913;14757;4985;1706;
922;14601;4228;4857;
931;14587;12633;3502;
940;14778;9972;3529;
943;14991;4656;2905;
944;14778;9977;3749;
946;14721;4920;1228;
948;14898;8671;2629;
953;14901;4821;407;
960;14505;5275;842;
966;14994;9773;4227;
968;15069;8160;5254;
970;14950;4584;4291;
982;14582;8810;4502;
984;14577;5908;2835;
989;14364;9906;1982;
990;14880;9799;4672;
993;14656;15886;1914;
996;15031;4853;3728;
999;14418;9590;1397;
1002;14640;13454;1206;
1006;15031;4991;3667;
1014;14938;8914;4665;
1022;14399;4752;3214;
1023;14492;4496;3130;
1026;14326;12321;3815;
1028;14785;4439;4709;
1029;14981;7518;5764;
1038;14470;5489;1012;
1045;14577;6020;2740;
1049;15074;15085;2546;
1052;14380;4033;2762;
1058;14442;13572;2986;
1067;14756;8153;5020;
1069;14505;5203;742;
1072;14703;13824;3362;
1074;14543;4331;3492;
1076;14602;4913;3230;
1085;14667;9354;4635;
1098;14589;4174;3752;
1102;15012;13715;4238;
1104;14332;9158;5304;
1106;14925;5392;3515;
1107;14675;4540;4010;
1110;14622;13856;3051;
1111;14490;8805;1820;
1116;14375;3956;3474;
1120;14824;4340;4928;
1125;14803;13208;3731;
1131;14775;11889;3520;
1136;14591;8012;3015;
1137;14601;4196;4804;
1140;14664;11398;3723;
1143;14820;2381;5139;
1151;14387;12676;2951;
1162;14962;14476;1219;
1164;14558;12575;3011;
1167;14392;13036;2458;
1169;14667;9227;4543;
1173;14463;12959;3240;
1174;14594;5791;1273;
1176;14421;8141;4877;
1177;15046;4620;3737;
1179;14962;14455;1273;
1183;14734;13542;3041;
1200;14991;4671;2928;
1201;15028;4376;3311;
1214;14337;9466;4416;
1215;14337;9434;4503;
1219;14888;10791;3979;
1227;14821;9035;5648;
1235;14551;12522;3507;
1239;14387;12771;2983;
1240;14982;4601;4719;
1243;14806;8031;5199;
1251;14880;9900;4641;
1257;15001;12853;2808;
1261;14946;4867;794;
1265;14664;11437;3724;
1273;14601;4220;4816;
1283;14776;10210;2007;
1284;14428;1383;1971;
1292;14853;13671;1228;
1298;14470;5363;967;
1299;14992;9255;4237;
1301;14622;13773;3129;
1305;14766;11255;3883;
1306;14507;15074;1685;
1313;14664;11476;3769;
1317;14443;14135;4268;
1319;14328;6015;1641;
1320;14806;7910;5199;
1323;14999;7877;4318;
1333;14375;3934;3492;
1335;14569;5268;3273;
1336;14828;8631;2800;
1337;14806;8053;5222;
1343;15061;9122;4562;
1348;14742;13109;2951;
1352;14806;8004;5182;
1353;14553;15827;2027;
1355;14608;5581;1150;
1357;14845;4811;469;
1359;14806;7930;5243;
1365;14524;4444;3807;
1366;14573;7859;5382;
1368;14615;3741;3813;
1370;15028;4379;3346;
1377;14440;9595;4641;
1383;14587;12569;3532;
1385;15012;13686;4280;
1394;14908;4831;894;
1400;14370;14563;2406;
1401;14492;4672;3074;
1403;14581;3761;3968;
1408;14529;11822;3277;
1409;14853;13611;1206;
1415;14396;10409;2162;
1419;14496;13051;3560;
1424;14458;12739;3381;
1432;15040;12707;3125;
1436;15011;13964;2601;
1438;14397;2551;4858;
1442;14924;13737;4590;
1444;14669;7455;3557;
1446;14754;8760;2479;
1452;14581;3860;4099;
1454;14850;4803;3261;
1464;14611;13993;4579;
1469;14414;15989;760;
1472;14569;5267;3247;
1473;14379;13559;2853;
1483;14924;13621;4578;
1494;14470;5364;1007;
1501;14685;13024;2668;
1508;14911;11360;3810;
1511;14887;4238;3333;
1514;14469;4306;3223;
1520;14505;5233;855;
1522;14361;16128;998;
1524;14975;12770;2708;
1527;14828;8615;2757;
1528;14999;7969;4434;
1534;14685;13201;2706;
1536;15073;4641;3601;
1545;14754;8796;2401;
1548;14850;4863;3290;
1549;14481;4076;3699;
1552;14662;5781;3017;
1556;14845;4768;554;
1560;14567;10501;3900;
1561;14326;12264;3779;
1564;15011;14124;2610;
1567;14798;13671;4157;
1570;14786;14079;4462;
1580;14416;10415;4520;
1581;14857;3469;3628;
1587;14718;3170;3848;
1588;14938;8852;4694;
1589;14346;2971;4227;
1590;14963;9964;4640;
1592;14457;6555;2542;
1602;14664;11472;3745;
1603;14387;12710;2929;
1624;15057;14689;1020;
1627;14978;16254;994;
1629;14898;8659;2641;
1631;14597;4989;1939;
1636;15028;4397;3241;
1639;14776;10027;2061;
1644;14577;5902;2812;
1646;14321;13628;3958;
1648;14416;10419;4549;
1649;14449;1810;2371;
1655;14597;4969;1954;
1656;14867;9465;4640;
1661;14839;4515;2490;
1665;14673;9687;4415;
1682;14413;10116;3572;
1684;14914;4742;3682;
1691;14492;4505;3123;
1694;14635;6289;1756;
1705;14924;13756;4628;
1710;14719;4528;4802;
1711;15012;13690;4442;
1725;14577;5948;2675;
1728;14912;8780;2180;
1729;14845;4796;496;
1730;14956;9027;1295;
1740;14982;4408;4696;
1754;14334;8942;5869;
1759;14326;12233;3765;
1767;15065;8828;4640;
1769;15025;5353;3222;
1775;15001;12905;2732;
1779;14757;4986;1625;
1785;14961;15667;5609;
1788;14541;8109;5305;
1794;14930;9828;4342;
1799;15031;4901;3671;
1802;14458;12739;3356;
1804;14346;3018;4210;
1805;14947;12630;2816;
1811;14705;15058;1208;
1814;14552;5590;3041;
1817;14615;3740;3870;
1818;14803;13229;3748;
1821;14802;6383;1937;
1822;15014;13615;3246;
1824;14766;11170;3929;
1835;14587;12638;3529;
1849;14470;5507;1015;
1850;15038;2506;5004;
1853;14791;8629;5292;
1854;14673;9518;4444;
1855;15049;13217;3634;
1860;15019;5412;5314;
1861;14511;6899;4527;
1863;14404;4555;4268;
1870;14911;11352;3764;
1871;14584;9605;5507;
1873;14677;8659;4446;
1877;14340;6128;2695;
1878;14642;8970;4559;
1883;14384;5334;4812;
1884;14608;5536;1229;
1895;14416;10441;4588;
1900;14911;11365;3751;
1904;14457;6457;2582;
1906;14579;14025;2824;
1909;14839;4547;2644;
1921;14505;5113;678;
1923;15057;14760;1037;
1932;14795;16178;885;
1933;14687;15160;1557;
1940;15074;14993;2497;
1943;14959;10251;1610;
1956;14487;12413;3344;
1957;14458;12707;3204;
1958;14546;7755;5203;
1965;14849;8380;5127;
1966;15001;12904;2771;
1978;14887;4158;3379;
1980;14586;4707;4787;
1987;15071;4531;3816;
1988;14659;8667;4346;
1991;14667;9386;4554;
2000;14713;13929;3166;
2004;14697;3713;3515;
2008;14612;9706;4832;
2016;14569;5382;3323;
2021;14399;4699;3150;
2022;14839;4551;2625;
2028;14763;4899;3625;
2032;14490;8730;2019;
2039;14594;5891;1397;
2041;14587;12543;3504;
2043;14802;6377;1882;
2044;14462;13842;3882;
2054;14458;12761;3112;
2059;14794;5159;571;
2060;14607;8004;5126;
2069;14318;4842;4642;
2070;14983;8952;5429;
2075;15001;12926;2846;
2082;14612;9723;4875;
2088;14440;9556;4644;
2104;14715;4613;2368;
2109;14373;4436;4737;
2116;14606;13707;4065;
2120;15074;14892;2432;
2121;15047;5005;3613;
2128;14918;15232;5016;
2130;14701;7667;4061;
2131;14825;13843;3211;
2132;14958;10268;2878;
2133;14387;12791;2937;
2144;14529;11821;3259;
2148;14328;6042;1658;
2153;14849;8338;5109;
2156;14750;14368;4298;
2159;15048;9292;5367;
2163;14927;4396;4123;
2169;14916;8015;5063;
2170;14491;14735;4779;
2176;14697;3588;3567;
2178;14974;11567;3446;
2183;14766;11246;3903;
2187;14375;4000;3433;
2193;14984;8807;5236;
2196;14791;8713;5313;
2197;14557;8117;3005;
2201;14667;9264;4605;
2204;14621;574;5203;
2209;14688;4707;3737;
2213;14756;8256;5052;
2216;14364;9866;1948;
2218;14328;5979;1509;
2220;14775;11841;3368;
2228;14934;10905;3772;
2231;14507;14986;1798;
2234;14557;8084;3000;
2240;15028;4448;3183;
2242;14738;14995;1055;
2254;14653;4690;4389;
2256;14521;4682;4517;
2265;14772;12998;3193;
2270;15044;13150;2425;
2280;14431;10183;1804;
2285;14431;10160;1769;
2287;14418;9614;1434;
2288;14679;3891;3598;
2290;14577;5912;2777;
2297;14496;13139;3625;
2298;14458;12826;3352;
2299;14552;5708;3043;
2300;14640;13460;1295;
2317;14682;10191;3261;
2339;14403;13874;3342;
2340;14323;4681;5414;
2342;15010;9688;4076;
2343;14919;13115;3759;
2344;14963;10097;4697;
2349;15018;2311;5207;
2359;14371;9698;1621;
2363;14836;2582;4963;
2370;14412;9389;1237;
2372;14962;14639;1031;
2380;14930;9715;4418;
2383;14873;9030;4707;
2389;14463;12776;3091;
2390;14963;10036;4641;
2391;15001;12897;2796;
2411;14634;3969;4123;
2418;14962;14556;1108;
2419;14774;10468;2156;
2420;14901;5043;301;
2425;14844;14643;4814;
2426;14549;14583;4739;
2427;14333;14625;4710;
2428;14333;14723;4711;
2429;14333;14674;4698;
2430;14333;14605;4704;
2431;14333;14704;4688;
2435;14794;5072;503;
2436;14664;11512;3602;
2439;14326;12283;3782;
2440;14846;9889;3922;
2441;14463;12837;3056;
2448;14459;4754;2096;
2451;14340;6180;2642;
2455;14399;4561;3201;
2457;14608;5550;1217;
2459;14440;9502;4809;
2460;15061;9208;4519;
2461;14770;9326;4491;
2462;14475;8034;4444;
2463;14876;10408;4148;
2466;14586;4693;4743;
2472;14815;13130;3483;
2474;14502;10131;2768;
2475;14502;10117;2750;
2486;15012;13637;4394;
2492;14876;10395;4134;
2495;14967;13752;4561;
2497;15061;9204;4510;
2499;14501;13747;3281;
2505;14415;13006;2578;
2507;14994;9642;4192;
2509;14416;10583;4908;
2510;14458;12724;3297;
2511;14770;9219;4448;
2512;14501;13689;3362;
2513;14371;9686;1559;
2519;14470;5354;998;
2526;15048;9303;5389;
2530;15057;14719;1010;
2535;14956;9032;1239;
2536;14829;8858;4448;
2537;14458;12785;3367;
2541;14418;9448;1263;
2544;14669;7430;3364;
2545;14972;8441;3024;
2551;14610;13662;3816;
2553;14492;4530;3150;
2559;14748;14423;4369;
2561;14820;2483;5071;
2566;14828;8646;2940;
2575;14983;8941;5374;
2577;14984;8867;5330;
2578;14364;9806;1896;
2580;14558;12454;3096;
2584;14757;4984;1673;
2585;14718;3357;3825;
2588;14440;9492;4755;
2596;15051;8595;5262;
2597;15047;4955;3602;
2598;14747;14695;2388;
2603;14543;4399;3451;
2605;14961;15277;5264;
2620;14815;13149;3449;
2626;15048;9299;5432;
2633;14901;4884;351;
2639;14321;13678;3879;
2649;14602;4924;3247;
2653;14614;8099;4928;
2658;14318;4960;4704;
2660;14748;14423;4359;
2663;14608;5554;1187;
2664;14814;10444;3446;
2665;14374;5032;4779;
2666;14326;12156;3754;
2670;14529;11818;3295;
2673;14326;12269;3776;
2679;14888;10781;4006;
2680;14340;6163;2630;
2691;14457;6351;2644;
2692;14542;15254;2490;
2699;14886;9287;5471;
2702;14559;5225;3231;
2710;14416;10391;4683;
2712;14930;9842;4446;
2715;14591;7952;3010;
2719;14952;10781;3871;
2723;14708;14524;4499;
2727;15001;12820;2859;
2735;14457;6429;2606;
2740;14701;7693;4084;
2742;14732;13467;3814;
2743;14724;5019;4966;
2750;14470;5423;1001;
2751;14900;10041;2097;
2756;14552;5490;3143;
2757;14720;13816;1979;
2761;14434;11670;3192;
2763;14669;7410;3441;
2764;14371;9744;1638;
2767;14947;12687;2854;
2770;14924;13716;4637;
2771;14873;9078;4679;
2773;14468;2625;4496;
2774;14775;11942;3558;
2781;14321;13683;4036;
2790;14682;10245;3368;
2791;14439;8753;4846;
2794;15071;4502;3820;
2798;14664;11532;3511;
2805;14577;5878;2887;
2807;14688;4643;3783;
2808;14330;13936;2384;
2809;14824;4111;4903;
2810;14900;10032;2285;
2822;14516;10437;1944;
2823;14667;9247;4541;
2824;14468;2592;4522;
2825;14782;13448;3002;
2828;14413;9997;3471;
2830;14747;14721;2170;
2840;14555;7526;3259;
2860;14919;13174;3761;
2869;14978;16232;941;
2873;14459;4690;2217;
2893;14731;2945;4055;
2895;14608;5585;1126;
2896;14559;5062;3290;
2898;14732;13408;3812;
2908;14955;9166;5368;
2911;14846;9962;3828;
2913;14745;13349;3795;
2923;14798;13720;4118;
2927;14475;8113;4372;
2935;14715;4660;2263;
2940;14828;8496;2786;
2946;14578;15390;3086;
2953;14572;5935;5607;
2954;14405;7602;3165;
2960;15072;4210;3690;
2963;14666;13749;2569;
2966;14437;7753;3025;
2967;14405;7618;3126;
2968;14577;5944;2668;
2970;14947;12570;2961;
2972;14415;13008;2617;
2976;15061;9128;4508;
2978;15061;9185;4449;
2982;14817;9774;5711;
2986;14679;3932;3606;
2989;14597;4892;2016;
2991;14682;10395;3413;
2998;14340;6254;2649;
3001;14577;5884;2869;
3006;14326;12138;3709;
3009;14912;8820;2242;
3010;15075;342;2146;
3031;14988;8866;1638;
3033;14612;9723;4800;
3044;14390;13724;3490;
3047;14416;10588;4721;
3050;14406;6495;2272;
3054;15057;14806;1035;
3059;14721;4846;1049;
3060;14654;10438;3096;
3061;14387;12649;2985;
3066;14901;4902;311;
3070;14594;5871;1358;
3077;14924;13666;4481;
3079;14458;12765;3400;
3083;14611;14038;4520;
3089;15063;8791;4510;
3090;14919;13193;3752;
3092;14923;2024;5388;
3094;14621;870;5310;
3103;15040;12729;3090;
3107;14862;4513;2702;
3117;14459;4721;2134;
3122;14541;8103;5384;
3123;14667;9257;4525;
3132;14968;13952;4287;
3140;14992;9354;4207;
3145;14324;7436;4064;
3150;14387;12764;2872;
3155;14400;14491;2488;
3163;14406;6440;2194;
3165;14552;5613;3044;
3168;14608;5677;1187;
3169;14697;3572;3576;
3171;14885;13306;2623;
3175;15075;458;1908;
3182;14636;9591;4194;
3196;14862;4532;2751;
3200;14944;10714;2562;
3211;14567;10681;3896;
3213;14577;5941;2706;
3214;14719;4509;4804;
3228;14667;9311;4623;
3230;14475;8032;4375;
3237;14475;8077;4451;
3239;14916;8080;5078;
3252;14338;9848;5575;
3255;14679;3840;3624;
3264;14415;13215;2455;
3265;14828;8474;2979;
3269;14328;6083;1683;
3280;14911;11331;3820;
3282;14612;9539;4853;
3284;14414;15964;707;
3285;14383;10707;3567;
3288;14559;5192;3240;
3291;14575;2855;4277;
3297;14567;10491;3958;
3302;14988;8940;1473;
3304;14707;8182;4402;
3307;14850;4875;3299;
3317;14666;13820;2390;
3319;14526;4759;4550;
3324;14405;7586;3193;
3325;15011;13942;2608;
3326;14820;2442;5070;
3327;14867;9446;4639;
3331;14862;4550;2780;
3334;14501;13654;3321;
3335;14687;15167;1517;
3338;14575;2740;4342;
3348;14776;10206;1918;
3352;15032;4154;3513;
3354;14682;10343;3396;
3357;14669;7452;3382;
3365;14827;5414;3439;
3367;14326;12305;3780;
3368;14976;14163;2425;
3373;14577;5934;2769;
3376;14608;5610;1102;
3378;14517;14347;4388;
3380;14891;14354;4353;
3381;14583;14075;4339;
3385;14496;13015;3684;
3388;14985;8671;4736;
3390;14496;13050;3725;
3397;15001;12870;2860;
3406;14886;9527;5502;
3411;14885;13474;2615;
3420;14697;3738;3504;
3430;14586;4612;4745;
3438;14718;3333;3851;
3441;14626;4084;4133;
3442;14492;4618;3167;
3444;14719;4449;4874;
3445;14938;8831;4712;
3447;14719;4532;4847;
3450;14798;13750;4140;
3452;14406;6416;2125;
3456;15062;14563;4587;
3459;14568;4658;5292;
3460;14946;4872;758;
3461;14694;6530;294;
3464;14839;4550;2667;
3465;14588;14309;4306;
3466;14745;13344;3794;
3468;14608;5521;1222;
3471;14891;14251;4316;
3475;14577;5987;2698;
3483;14577;5937;2671;
3486;14889;8129;4772;
3495;14876;10544;4041;
3504;14463;12864;3032;
3512;14732;13427;3812;
3515;14439;8813;4829;
3517;14373;4393;4823;
3523;15052;13737;2696;
3525;15028;4407;3230;
3534;14361;16089;1149;
3551;14854;8370;4755;
3554;15063;8768;4507;
3555;14898;8621;2702;
3562;15032;4188;3491;
3565;14687;15119;1647;
3566;14757;4967;1531;
3567;15040;12686;3147;
3570;14675;4547;3980;
3573;14631;13664;3451;
3577;14354;7368;5761;
3591;14404;4492;4129;
3594;14345;14195;4746;
3595;14415;13053;2493;
3604;14721;4848;1015;
3606;14931;5215;4917;
3608;14867;9487;4642;
3614;15048;9228;5427;
3615;14984;8869;5280;
3616;14545;4353;4142;
3618;14888;10701;3913;
3624;14824;4087;4948;
3625;14927;4427;4094;
3627;14321;13591;3909;
3629;14961;15250;5526;
3636;14469;4293;3276;
3637;14868;9201;5650;
3641;14596;13505;2724;
3644;14839;4533;2614;
3652;14505;5124;651;
3658;14496;13170;3607;
3661;14636;9536;4181;
3663;14901;4824;446;
3665;14364;9799;1689;
3678;14667;9386;4621;
3689;14596;13537;2778;
3693;14542;15140;2361;
3696;14889;8102;4745;
3697;14919;13151;3662;
3698;15022;15822;673;
3709;14679;3788;3693;
3710;15049;13188;3613;
3717;14685;12948;2685;
3720;14468;2650;4445;
3726;14836;2559;5026;
3730;14612;9722;4812;
3738;14577;5900;2788;
3741;14597;4996;1890;
3742;14969;15692;1814;
3747;14421;8144;4808;
3748;15019;5388;5339;
3749;14962;14547;1131;
3751;14340;6105;2715;
3760;14778;10058;3659;
3771;14406;6430;2200;
3778;14597;5003;1806;
3782;14528;8589;4688;
3785;14581;3812;4081;
3788;14594;5875;1393;
3790;14982;4543;4721;
3793;14592;13681;2373;
3795;14598;13724;3859;
3796;14326;12200;3784;
3799;15032;4151;3492;
3801;14983;8949;5398;
3802;14824;4175;4907;
3803;14948;8525;5415;
3814;14947;12634;2902;
3828;14863;7418;4261;
3830;14967;13819;4588;
3836;14806;7925;5242;
3837;14889;8026;4752;
3842;15019;5555;5239;
3845;14983;8965;5444;
3852;14815;13164;3375;
3855;14406;6416;2149;
3856;14406;6517;2288;
3858;14399;4755;3237;
3864;15004;8587;5648;
3866;14916;8112;5021;
3867;15071;4557;3810;
3870;14577;5923;2763;
3872;14919;13157;3758;
3876;14908;4818;726;
3880;14698;12847;2598;
3881;14598;13703;3809;
3882;15032;4171;3554;
3886;14559;5088;3251;
3891;14654;10503;3214;
3894;14924;13749;4602;
3898;14697;3676;3533;
3905;14806;8066;5199;
3917;14653;4653;4334;
3922;14504;8248;5139;
3926;14919;13086;3745;
3928;14938;8916;4763;
3938;14873;8970;4640;
3946;14332;9065;5245;
3948;14611;14032;4597;
3952;14402;7807;4286;
3955;14342;8036;5425;
3959;14715;4637;2309;
3963;14754;8748;2528;
3965;14988;8882;1565;
3969;14802;6356;1848;
3973;14396;10295;2052;
3975;14635;6224;1741;
3981;14361;16146;1065;
3982;15057;14929;947;
3985;15050;7111;3457;
3986;14891;14223;4288;
3988;14614;7989;4975;
3992;15044;13187;2420;
3997;15052;13921;2680;
4010;14927;4466;3977;
4012;14846;9918;3875;
4015;14469;4335;3228;
4018;14938;8898;4773;
4022;14806;7984;5318;
4023;14798;13713;4206;
4024;14696;3241;3937;
4030;14601;4268;4802;
4034;14716;11882;3055;
4037;14824;4165;4997;
4042;14577;5952;2766;
4050;14577;5894;2864;
4051;14596;13636;2588;
4059;15061;9149;4543;
4063;14836;2605;5004;
4084;14516;10453;2073;
4093;14924;13697;4632;
4099;14502;10017;2641;
4105;14705;15147;1339;
4113;14371;9668;1487;
4121;14794;5116;544;
4124;14458;12849;3334;
4127;14732;13453;3817;
4128;14321;13623;3936;
4136;14642;8948;4541;
4139;14583;14010;4365;
4145;14529;11836;3214;
4147;14470;5389;1000;
4153;14555;7508;3301;
4154;14772;13098;3263;
4157;14683;12684;3245;
4158;14405;7646;3103;
4168;14849;8366;5109;
4170;14975;12749;2746;
4173;14891;14197;4319;
4178;14681;3218;3985;
4182;14543;4373;3467;
4183;14364;9769;1875;
4185;14551;12482;3519;
4194;14652;13405;1474;
4195;14557;8038;3010;
4196;15031;4927;3669;
4210;14810;14287;4388;
4212;14443;14144;4192;
4214;14587;12600;3573;
4215;14588;14343;4330;
4217;14681;3189;4008;
4221;15025;5408;3208;
4222;15004;8686;5660;
4225;14586;4568;4755;
4235;14825;13798;3227;
4236;14876;10431;4019;
4237;14613;7930;2046;
4240;14635;6312;1766;
4244;14667;9227;4538;
4247;14575;2716;4344;
4248;15062;14583;4671;
4254;15024;9765;4812;
4256;14458;12753;3146;
4257;14828;8464;2977;
4260;14490;8852;1729;
4262;14481;4015;3607;
4265;14985;8664;4750;
4279;14963;10060;4731;
4281;14390;13724;3449;
4290;14368;14632;4538;
4296;14988;8869;1598;
4300;14471;14848;1921;
4301;14439;8747;4813;
4305;15028;4372;3287;
4308;14721;4862;1085;
4313;14978;16307;1037;
4314;14731;3001;4058;
4316;14975;12787;2665;
4324;14879;9019;4174;
4326;14766;11219;3941;
4330;14999;7886;4328;
4340;14763;4867;3629;
4342;14326;12322;3797;
4344;14967;13889;4508;
4345;14553;15780;2097;
4349;14930;9829;4387;
4352;14791;8631;5267;
4360;14664;11498;3750;
4365;14529;11835;3061;
4368;14413;10120;3376;
4375;14836;2521;5061;
4384;14666;13702;2651;
4386;15047;4974;3613;
4391;14490;8728;1963;
4401;14371;9678;1598;
4410;14370;14619;2355;
4411;14383;10571;3518;
4413;15001;12920;2727;
4418;14771;5265;280;
4430;14597;5001;1858;
4432;14443;14110;4265;
4439;14466;7419;3753;
4453;14586;4601;4770;
4458;14459;4799;2061;
4459;14459;4864;2026;
4464;14802;6405;1974;
4468;14935;13214;2850;
4470;14606;13690;4048;
4485;14587;12596;3543;
4493;14829;8788;4481;
4496;14701;7750;4139;
4500;14991;4605;2841;
4504;14791;8788;5307;
4507;14387;12759;3030;
4516;14602;4960;3216;
4518;14778;9923;3612;
4520;14333;14579;4707;
4522;14667;9339;4589;
4523;14551;12471;3644;
4524;14406;6415;2085;
4525;14900;10029;2183;
4526;14587;12642;3466;
4537;15057;14809;911;
4542;14653;4693;4363;
4544;14791;8657;5326;
4549;14392;13086;2433;
4555;14839;4505;2588;
4558;14787;8569;4783;
4560;14995;8448;4446;
4561;14846;9810;3833;
4577;14739;9355;5977;
4583;14340;6330;2641;
4591;14349;16350;2015;
4593;15039;1001;3746;
4612;14976;14357;2219;
4614;14908;4818;850;
4616;14962;14485;1205;
4622;14716;11912;3087;
4627;14502;10000;2540;
4628;15044;13249;2399;
4629;14337;9425;4392;
4630;14645;13867;2391;
4632;14414;16054;810;
4642;14396;10379;2128;
4646;14468;2668;4405;
4649;14416;10613;4627;
4655;14415;13160;2460;
4658;14431;10192;1651;
4661;14502;9980;2440;
4663;14938;8900;4680;
4671;14889;8120;4750;
